:START_ID,:END_ID,:TYPE
171798691840,21474836480,BINDS
171798691841,21474836481,BINDS
171798691842,21474836482,BINDS
171798691843,21474836483,BINDS
171798691844,21474836484,BINDS
171798691845,21474836485,BINDS
171798691846,21474836486,BINDS
171798691847,21474836487,BINDS
171798691848,21474836488,BINDS
171798691849,21474836489,BINDS
171798691850,21474836490,BINDS
171798691851,21474836491,BINDS
171798691852,21474836492,BINDS
171798691853,21474836493,BINDS
171798691854,21474836494,BINDS
171798691855,21474836495,BINDS
171798691856,21474836496,BINDS
171798691857,21474836497,BINDS
171798691858,21474836498,BINDS
171798691859,21474836499,BINDS
171798691860,21474836500,BINDS
171798691861,21474836501,BINDS
171798691862,21474836502,BINDS
171798691863,21474836503,BINDS
171798691864,21474836504,BINDS
171798691865,21474836505,BINDS
171798691866,21474836506,BINDS
171798691867,21474836507,BINDS
171798691868,21474836508,BINDS
171798691869,21474836509,BINDS
171798691870,21474836510,BINDS
171798691871,21474836511,BINDS
171798691872,21474836512,BINDS
171798691873,21474836513,BINDS
171798691874,21474836514,BINDS
171798691875,21474836515,BINDS
171798691876,21474836516,BINDS
171798691877,21474836517,BINDS
171798691878,21474836518,BINDS
171798691879,21474836519,BINDS
171798691880,21474836520,BINDS
171798691881,21474836521,BINDS
171798691882,21474836522,BINDS
171798691883,21474836523,BINDS
171798691884,21474836524,BINDS
171798691885,21474836525,BINDS
171798691886,21474836526,BINDS
171798691887,21474836527,BINDS
171798691888,21474836528,BINDS
171798691889,21474836529,BINDS
171798691890,21474836530,BINDS
171798691891,21474836531,BINDS
171798691892,21474836532,BINDS
171798691893,21474836533,BINDS
171798691894,21474836534,BINDS
171798691895,21474836535,BINDS
171798691896,21474836536,BINDS
171798691897,21474836537,BINDS
171798691898,21474836538,BINDS
171798691899,21474836539,BINDS
171798691900,21474836540,BINDS
171798691901,21474836541,BINDS
171798691902,21474836542,BINDS
171798691903,21474836543,BINDS
171798691904,21474836544,BINDS
171798691905,21474836545,BINDS
171798691906,21474836546,BINDS
171798691907,21474836547,BINDS
171798691908,21474836548,BINDS
171798691909,21474836549,BINDS
171798691910,21474836550,BINDS
171798691911,21474836551,BINDS
171798691912,21474836552,BINDS
171798691913,21474836553,BINDS
171798691914,21474836554,BINDS
171798691915,21474836555,BINDS
171798691916,21474836556,BINDS
171798691917,21474836557,BINDS
171798691918,21474836558,BINDS
171798691919,21474836559,BINDS
171798691920,21474836560,BINDS
171798691921,21474836561,BINDS
171798691922,21474836562,BINDS
171798691923,21474836563,BINDS
171798691924,21474836564,BINDS
171798691925,21474836565,BINDS
171798691926,21474836566,BINDS
171798691927,21474836567,BINDS
171798691928,21474836568,BINDS
171798691929,21474836569,BINDS
171798691930,21474836570,BINDS
171798691931,21474836571,BINDS
171798691932,21474836572,BINDS
171798691933,21474836573,BINDS
171798691934,21474836574,BINDS
171798691935,21474836575,BINDS
171798691936,21474836576,BINDS
171798691937,21474836577,BINDS
171798691938,21474836578,BINDS
171798691939,21474836579,BINDS
171798691940,21474836580,BINDS
171798691941,21474836581,BINDS
171798691942,21474836582,BINDS
171798691943,21474836583,BINDS
171798691944,21474836584,BINDS
171798691945,21474836585,BINDS
171798691946,21474836586,BINDS
171798691947,21474836587,BINDS
171798691948,21474836588,BINDS
171798691949,21474836589,BINDS
171798691950,21474836590,BINDS
171798691951,21474836591,BINDS
171798691952,21474836592,BINDS
171798691953,21474836593,BINDS
171798691954,21474836594,BINDS
171798691955,21474836595,BINDS
171798691956,21474836596,BINDS
171798691957,21474836597,BINDS
171798691958,21474836598,BINDS
171798691959,21474836599,BINDS
171798691960,21474836600,BINDS
171798691961,21474836601,BINDS
171798691962,21474836602,BINDS
171798691963,21474836603,BINDS
171798691964,21474836604,BINDS
171798691965,21474836605,BINDS
