:START_ID,:END_ID,:TYPE
124554051586,34359742792,CAPTURE
124554051586,34359742794,CAPTURE
124554051587,34359742790,CAPTURE
124554051589,34359742778,CAPTURE
124554051589,34359742780,CAPTURE
124554051589,34359742782,CAPTURE
124554051589,34359742784,CAPTURE
124554051590,34359742735,CAPTURE
124554051590,34359742736,CAPTURE
124554051590,34359742737,CAPTURE
124554051590,34359742738,CAPTURE
124554051590,34359742739,CAPTURE
124554051590,34359742740,CAPTURE
124554051591,34359742728,CAPTURE
124554051591,34359742729,CAPTURE
124554051591,34359742731,CAPTURE
124554051591,34359742732,CAPTURE
124554051591,34359742733,CAPTURE
124554051592,34359742720,CAPTURE
124554051592,34359742722,CAPTURE
124554051592,34359742724,CAPTURE
124554051593,34359742708,CAPTURE
124554051593,34359742709,CAPTURE
124554051594,34359742688,CAPTURE
124554051594,34359742691,CAPTURE
124554051595,34359742684,CAPTURE
124554051595,34359742686,CAPTURE
124554051595,34359742689,CAPTURE
124554051596,34359742677,CAPTURE
124554051596,34359742679,CAPTURE
124554051596,34359742681,CAPTURE
124554051597,34359742670,CAPTURE
124554051597,34359742672,CAPTURE
124554051597,34359742674,CAPTURE
124554051598,34359742658,CAPTURE
124554051600,34359742603,CAPTURE
124554051600,34359742604,CAPTURE
124554051601,34359742589,CAPTURE
124554051602,34359742588,CAPTURE
124554051603,34359742587,CAPTURE
124554051604,34359742594,CAPTURE
124554051604,34359742596,CAPTURE
124554051604,34359742598,CAPTURE
124554051604,34359742600,CAPTURE
124554051605,34359742590,CAPTURE
124554051605,34359742592,CAPTURE
124554051606,34359742577,CAPTURE
124554051607,34359742573,CAPTURE
124554051607,34359742574,CAPTURE
124554051608,34359742566,CAPTURE
124554051608,34359742567,CAPTURE
124554051609,34359742551,CAPTURE
124554051609,34359742553,CAPTURE
124554051609,34359742555,CAPTURE
124554051609,34359742557,CAPTURE
124554051610,34359742546,CAPTURE
124554051611,34359742543,CAPTURE
124554051612,34359742542,CAPTURE
124554051612,34359742544,CAPTURE
124554051613,34359742535,CAPTURE
124554051613,34359742537,CAPTURE
124554051614,34359742532,CAPTURE
124554051614,34359742534,CAPTURE
124554051615,34359742531,CAPTURE
124554051617,34359742497,CAPTURE
124554051618,34359742485,CAPTURE
124554051618,34359742486,CAPTURE
124554051618,34359742488,CAPTURE
124554051619,34359742456,CAPTURE
124554051619,34359742458,CAPTURE
124554051620,34359742441,CAPTURE
124554051620,34359742442,CAPTURE
124554051621,34359742436,CAPTURE
124554051622,34359742426,CAPTURE
124554051622,34359742427,CAPTURE
124554051623,34359742412,CAPTURE
124554051624,34359742455,CAPTURE
124554051624,34359742457,CAPTURE
124554051624,34359742459,CAPTURE
124554051625,34359742448,CAPTURE
124554051625,34359742450,CAPTURE
124554051625,34359742452,CAPTURE
124554051625,34359742453,CAPTURE
124554051626,34359742443,CAPTURE
124554051626,34359742445,CAPTURE
124554051626,34359742446,CAPTURE
124554051627,34359742435,CAPTURE
124554051627,34359742437,CAPTURE
124554051627,34359742439,CAPTURE
124554051628,34359742428,CAPTURE
124554051628,34359742430,CAPTURE
124554051628,34359742432,CAPTURE
124554051628,34359742434,CAPTURE
124554051629,34359742419,CAPTURE
124554051629,34359742420,CAPTURE
124554051629,34359742422,CAPTURE
124554051629,34359742424,CAPTURE
124554051630,34359742410,CAPTURE
124554051630,34359742413,CAPTURE
124554051630,34359742415,CAPTURE
124554051630,34359742417,CAPTURE
124554051631,34359742393,CAPTURE
124554051632,34359742382,CAPTURE
124554051633,34359742376,CAPTURE
124554051634,34359742366,CAPTURE
124554051634,34359742368,CAPTURE
124554051634,34359742370,CAPTURE
124554051636,34359742352,CAPTURE
124554051636,34359742354,CAPTURE
124554051636,34359742357,CAPTURE
124554051637,34359742353,CAPTURE
124554051637,34359742355,CAPTURE
124554051637,34359742358,CAPTURE
124554051638,34359742334,CAPTURE
124554051639,34359742320,CAPTURE
