:START_ID,:END_ID,:TYPE
25769803778,25769803780,CFG
25769803780,146028888065,CFG
25769803785,68719476760,CFG
25769803787,146028888066,CFG
25769803788,30064771120,CFG
25769803790,146028888067,CFG
25769803794,146028888070,CFG
25769803796,30064771163,CFG
25769803800,146028888073,CFG
25769803803,30064771220,CFG
25769803807,30064771277,CFG
25769803808,68719476897,CFG
25769803816,146028888081,CFG
25769803825,68719477041,CFG
25769803826,146028888083,CFG
25769803828,90194313309,CFG
25769803830,146028888084,CFG
25769803839,30064771458,CFG
25769803841,30064771507,CFG
25769803842,68719477223,CFG
25769803843,30064771533,CFG
25769803845,146028888092,CFG
25769803846,30064771532,CFG
25769803848,146028888093,CFG
25769803850,146028888094,CFG
25769803852,30064771574,CFG
25769803853,90194313357,CFG
25769803856,146028888095,CFG
25769803859,146028888096,CFG
25769803860,68719477249,CFG
25769803864,146028888097,CFG
25769803867,146028888098,CFG
25769803868,68719477289,CFG
25769803871,146028888099,CFG
25769803872,146028888100,CFG
25769803873,146028888101,CFG
25769803877,30064771645,CFG
25769803878,55834574956,CFG
25769803884,30064771692,CFG
25769803885,128849018911,CFG
25769803891,30064771730,CFG
25769803895,30064771745,CFG
25769803899,30064771752,CFG
25769803904,68719477484,CFG
25769803905,68719477487,CFG
25769803910,68719477525,CFG
25769803920,68719477613,CFG
25769803925,128849018932,CFG
25769803927,68719477674,CFG
25769803931,146028888137,CFG
25769803932,68719477702,CFG
25769803933,68719477706,CFG
25769803936,68719478327,CFG
25769803946,68719478416,CFG
25769803948,68719478465,CFG
25769803948,68719478469,CFG
25769803953,68719478373,CFG
25769803971,68719478549,CFG
25769803971,90194313708,CFG
25769803972,68719478529,CFG
25769803979,30064772516,CFG
25769803980,68719478556,CFG
25769803985,68719478598,CFG
25769803990,30064772569,CFG
25769803991,30064772592,CFG
25769803992,30064772607,CFG
25769804001,146028888160,CFG
25769804011,68719478746,CFG
25769804016,68719478761,CFG
25769804017,146028888165,CFG
25769804024,30064772763,CFG
25769804026,90194313773,CFG
25769804027,68719478837,CFG
25769804028,68719478845,CFG
25769804028,128849018960,CFG
25769804031,146028888170,CFG
25769804035,68719478877,CFG
25769804038,146028888173,CFG
25769804038,128849018962,CFG
25769804041,30064772855,CFG
25769804042,68719478931,CFG
25769804043,68719478938,CFG
25769804043,146028888174,CFG
25769804043,128849018963,CFG
25769804046,128849018964,CFG
25769804051,68719478962,CFG
25769804051,146028888177,CFG
25769804051,128849018967,CFG
25769804055,146028888180,CFG
25769804057,146028888184,CFG
25769804069,68719479028,CFG
25769804070,68719479044,CFG
25769804070,146028888187,CFG
25769804070,128849018977,CFG
25769804073,68719479062,CFG
25769804073,146028888190,CFG
25769804073,128849018978,CFG
25769804075,146028888191,CFG
25769804075,128849018978,CFG
25769804084,68719479101,CFG
25769804086,68719479105,CFG
25769804086,146028888196,CFG
25769804086,128849018982,CFG
25769804100,30064773062,CFG
25769804101,128849018989,CFG
25769804102,68719479171,CFG
25769804103,128849018990,CFG
25769804108,68719479205,CFG
25769804117,146028888208,CFG
25769804118,68719479243,CFG
25769804119,68719479257,CFG
25769804121,30064773187,CFG
25769804124,128849018999,CFG
25769804128,68719479296,CFG
25769804128,128849019001,CFG
25769804131,68719479302,CFG
25769804134,30064773309,CFG
25769804136,30064773391,CFG
25769804139,68719479412,CFG
25769804141,68719479432,CFG
25769804142,68719479447,CFG
25769804143,68719479467,CFG
25769804162,30064773534,CFG
25769804168,68719479569,CFG
