:ID,:LABEL,ARGUMENT_INDEX:int,ARGUMENT_NAME,CODE:string,COLUMN_NUMBER:int,DYNAMIC_TYPE_HINT_FULL_NAME:string[],LINE_NUMBER:int,ORDER:int,POSSIBLE_TYPES,TYPE_FULL_NAME:string
90194313216,LITERAL,2,,1,38,__ecma.Number,13,2,,__ecma.Number
90194313217,LITERAL,2,,"""""",33,__ecma.String,57,2,,__ecma.String
90194313218,LITERAL,2,,0,41,__ecma.Number,57,2,,__ecma.Number
90194313219,LITERAL,2,,"""IW7oisV""",20,__ecma.String,58,2,,__ecma.String
90194313220,LITERAL,2,,7,45,__ecma.Number,58,2,,__ecma.Number
90194313221,LITERAL,1,,0,29,__ecma.Number,71,1,,__ecma.Number
90194313222,LITERAL,1,,0,31,__ecma.Number,72,1,,__ecma.Number
90194313223,LITERAL,1,,0,27,__ecma.Number,73,1,,__ecma.Number
90194313224,LITERAL,1,,"""function""",20,__ecma.String,88,1,,__ecma.String
90194313225,LITERAL,2,,"""symbol""",22,__ecma.String,91,2,,__ecma.String
90194313226,LITERAL,1,,"""function""",12,__ecma.String,82,1,,__ecma.String
90194313227,LITERAL,1,,"""symbol""",43,__ecma.String,82,1,,__ecma.String
90194313228,LITERAL,1,,null,9,__ecma.Null,98,1,,__ecma.Null
90194313229,LITERAL,2,,0,21,__ecma.Number,99,2,,__ecma.Number
90194313230,LITERAL,1,,"""string""",14,__ecma.String,104,1,,__ecma.String
90194313231,LITERAL,1,,8,58,__ecma.Number,105,3,,__ecma.Number
90194313232,LITERAL,1,,1,62,__ecma.Number,105,1,,__ecma.Number
90194313233,LITERAL,1,,"""Object""",12,__ecma.String,107,1,,__ecma.String
90194313234,LITERAL,1,,"""Map""",12,__ecma.String,108,1,,__ecma.String
90194313235,LITERAL,1,,"""Set""",27,__ecma.String,108,1,,__ecma.String
90194313236,LITERAL,1,,"""Arguments""",16,__ecma.String,110,1,,__ecma.String
90194313237,LITERAL,2,,/^(?:Ui|I)nt(?:8|16|32)(?:Clamped)?Array$/,16,__ecma.String,111,2,,__ecma.String
90194313238,LITERAL,1,,0,21,__ecma.Number,113,1,,__ecma.Number
90194313239,LITERAL,1,,"""undefined""",15,__ecma.String,124,1,,__ecma.String
90194313240,LITERAL,1,,null,47,__ecma.Null,124,1,,__ecma.Null
90194313241,LITERAL,1,,null,14,__ecma.Null,125,1,,__ecma.Null
90194313242,LITERAL,2,,"""@@iterator""",24,__ecma.String,125,2,,__ecma.String
90194313243,LITERAL,1,,"""Invalid attempt to spread non-iterable instance.
In order to be iterable, non-array objects must have a [Symbol.iterator]() method.""",14,__ecma.String,132,3,,__ecma.String
90194313244,LITERAL,2,,0,20,__ecma.Number,167,2,,__ecma.Number
90194313245,LITERAL,2,,/=/,19,__ecma.String,172,2,,__ecma.String
90194313246,LITERAL,2,,/=[^=]/,35,__ecma.String,172,2,,__ecma.String
90194313247,LITERAL,2,,/={3}/,54,__ecma.String,172,2,,__ecma.String
90194313248,LITERAL,1,,null,25,__ecma.Null,174,1,,__ecma.Null
90194313249,LITERAL,2,,4,22,__ecma.Number,176,2,,__ecma.Number
90194313250,LITERAL,2,,0,26,__ecma.Number,176,2,,__ecma.Number
90194313251,LITERAL,1,,4,37,__ecma.Number,177,1,,__ecma.Number
90194313252,LITERAL,2,,4,46,__ecma.Number,177,2,,__ecma.Number
90194313253,LITERAL,2,,1,51,__ecma.Number,177,2,,__ecma.Number
90194313254,LITERAL,1,,"""=""",59,__ecma.String,177,3,,__ecma.String
90194313255,LITERAL,2,,4,46,__ecma.Number,181,2,,__ecma.Number
90194313256,LITERAL,2,,0,27,__ecma.Number,186,2,,__ecma.Number
90194313257,LITERAL,2,,18,33,__ecma.Number,186,2,,__ecma.Number
90194313258,LITERAL,2,,1,27,__ecma.Number,187,2,,__ecma.Number
90194313259,LITERAL,2,,12,33,__ecma.Number,187,2,,__ecma.Number
90194313260,LITERAL,1,,63,26,__ecma.Number,188,1,,__ecma.Number
90194313261,LITERAL,2,,2,33,__ecma.Number,188,2,,__ecma.Number
90194313262,LITERAL,2,,6,40,__ecma.Number,188,2,,__ecma.Number
90194313263,LITERAL,1,,63,25,__ecma.Number,189,1,,__ecma.Number
90194313264,LITERAL,2,,3,32,__ecma.Number,189,2,,__ecma.Number
90194313265,LITERAL,1,,255,25,__ecma.Number,190,1,,__ecma.Number
90194313266,LITERAL,2,,16,32,__ecma.Number,190,2,,__ecma.Number
90194313267,LITERAL,2,,16,24,__ecma.Number,191,2,,__ecma.Number
90194313268,LITERAL,1,,64,22,__ecma.Number,192,1,,__ecma.Number
90194313269,LITERAL,2,,2,31,__ecma.Number,192,2,,__ecma.Number
90194313270,LITERAL,1,,1,37,__ecma.Number,192,1,,__ecma.Number
90194313271,LITERAL,1,,65280,42,__ecma.Number,192,1,,__ecma.Number
90194313272,LITERAL,2,,8,56,__ecma.Number,192,2,,__ecma.Number
90194313273,LITERAL,1,,64,22,__ecma.Number,193,1,,__ecma.Number
90194313274,LITERAL,2,,3,31,__ecma.Number,193,2,,__ecma.Number
90194313275,LITERAL,1,,1,37,__ecma.Number,193,1,,__ecma.Number
90194313276,LITERAL,1,,255,41,__ecma.Number,193,1,,__ecma.Number
90194313277,LITERAL,2,,0,26,__ecma.Number,195,2,,__ecma.Number
90194313278,LITERAL,2,,3,24,__ecma.Number,196,2,,__ecma.Number
90194313279,LITERAL,2,,0,29,__ecma.Number,199,2,,__ecma.Number
90194313280,LITERAL,1,,0,34,__ecma.Number,199,1,,__ecma.Number
90194313281,LITERAL,1,,"""""",30,__ecma.String,201,3,,__ecma.String
