:ID,:LABEL,CODE:string,COLUMN_NUMBER:int,DYNAMIC_TYPE_HINT_FULL_NAME:string[],EVALUATION_STRATEGY:string,LINE_NUMBER:int,ORDER:int,POSSIBLE_TYPES:string[],TYPE_FULL_NAME:string
128849018880,METHOD_RETURN,RET,6,__ecma.Number,BY_VALUE,6,4,__ecma.Number,__ecma.Number
128849018881,METHOD_RETURN,RET,6,,BY_VALUE,11,5,ANY,ANY
128849018882,METHOD_RETURN,RET,6,__ecma.String,BY_VALUE,52,5,__ecma.String,__ecma.String
128849018883,METHOD_RETURN,RET,6,,BY_VALUE,66,7,ANY,ANY
128849018884,METHOD_RETURN,RET,16,HTMLSpanElement:<operator>.instanceOf:<returnValue>;fresh.js::program:<lambda>0:Uf:<operator>.instanceOf:<returnValue>;fresh.js::program:<lambda>0:f:<operator>.instanceOf:<returnValue>;new (src?: __ecma.String) => HTMLAudioElement:<operator>.instanceOf:<returnValue>;(data: __ecma.String) => __ecma.String:<operator>.instanceOf:<returnValue>;PropertyDescriptor:<operator>.instanceOf:<returnValue>;fresh.js::program:<lambda>0:js:<operator>.instanceOf:<returnValue>;fresh.js::program:<lambda>0:Jl:<operator>.instanceOf:<returnValue>;fresh.js::program:<lambda>0:rd:<lambda>357:<lambda>361:<operator>.instanceOf:<returnValue>;__ecma.FileReader:<operator>.instanceOf:<returnValue>;__ecma.Array:<operator>.instanceOf:<returnValue>;__ecma.String;__ecma.Boolean:<operator>.instanceOf:<returnValue>;__ecma.String:<operator>.instanceOf:<returnValue>;__ecma.Null:<operator>.instanceOf:<returnValue>,BY_VALUE,83,6,__ecma.String,__ecma.String
128849018885,METHOD_RETURN,RET,16,__ecma.String,BY_VALUE,86,6,__ecma.String,__ecma.String
128849018886,METHOD_RETURN,RET,6,,BY_VALUE,79,5,ANY,ANY
128849018887,METHOD_RETURN,RET,6,__ecma.Boolean;fresh.js::program:<lambda>0:Jl;fresh.js::program:<lambda>0:js;fresh.js::program:<lambda>0:Uf;__ecma.FileReader;fresh.js::program:<lambda>0:f;PropertyDescriptor;HTMLSpanElement;__ecma.Array;__ecma.String,BY_VALUE,97,6,ANY,ANY
128849018888,METHOD_RETURN,RET,6,a;void,BY_VALUE,102,6,ANY,ANY
128849018889,METHOD_RETURN,RET,11,a;void,BY_VALUE,119,6,ANY,ANY
128849018890,METHOD_RETURN,RET,11,ArrayConstructor:from:<returnValue>,BY_VALUE,122,6,ANY,ArrayConstructor:from:<returnValue>
128849018891,METHOD_RETURN,RET,11,,BY_VALUE,130,5,never,never
128849018892,METHOD_RETURN,RET,6,,BY_VALUE,117,5,ANY,ANY
128849018893,METHOD_RETURN,RET,13,__ecma.String;__ecma.Null,BY_VALUE,161,6,__ecma.String,ANY
128849018894,METHOD_RETURN,RET,6,__ecma.String,BY_VALUE,158,5,__ecma.String,__ecma.String
128849018895,METHOD_RETURN,RET,6,,BY_VALUE,329,5,ANY,ANY
128849018896,METHOD_RETURN,RET,6,,BY_VALUE,339,4,void,void
128849018897,METHOD_RETURN,RET,6,fresh.js::program:<lambda>0:Jl;fresh.js::program:<lambda>0:js;fresh.js::program:<lambda>0:Uf;__ecma.FileReader;fresh.js::program:<lambda>0:Kv;fresh.js::program:<lambda>0:f;fresh.js::program:<lambda>0:Xd;PropertyDescriptor;HTMLSpanElement;__ecma.Array;__ecma.Number,BY_VALUE,352,4,__ecma.Number,ANY
128849018898,METHOD_RETURN,RET,6,,BY_VALUE,368,5,ANY,ANY
128849018899,METHOD_RETURN,RET,6,__ecma.String,BY_VALUE,373,4,__ecma.String,__ecma.String
128849018900,METHOD_RETURN,RET,6,__ecma.Boolean:<operator>.logicalOr:<returnValue>;fresh.js::program:<lambda>0:Xd:<operator>.logicalOr:<returnValue>;fresh.js::program:<lambda>0:f:<operator>.logicalOr:<returnValue>;fresh.js::program:<lambda>0:rd:<lambda>357:<lambda>361:<operator>.logicalOr:<returnValue>;fresh.js::program:<lambda>0:Kv:<operator>.logicalOr:<returnValue>;PropertyDescriptor:<operator>.logicalOr:<returnValue>;__ecma.Array:<operator>.logicalOr:<returnValue>;new (src?: __ecma.String) => HTMLAudioElement:<operator>.logicalOr:<returnValue>;HTMLSpanElement:<operator>.logicalOr:<returnValue>;__ecma.FileReader:<operator>.logicalOr:<returnValue>;fresh.js::program:<lambda>0:Jl:<operator>.logicalOr:<returnValue>;fresh.js::program:<lambda>0:Uf:<operator>.logicalOr:<returnValue>;fresh.js::program:<lambda>0:js:<operator>.logicalOr:<returnValue>,BY_VALUE,398,5,ANY,ANY
128849018901,METHOD_RETURN,RET,6,__ecma.String,BY_VALUE,402,5,__ecma.String,__ecma.String
128849018902,METHOD_RETURN,RET,6,__ecma.String,BY_VALUE,445,5,__ecma.String,__ecma.String
128849018903,METHOD_RETURN,RET,20,,BY_VALUE,451,5,ANY,ANY
128849018904,METHOD_RETURN,RET,20,,BY_VALUE,473,5,ANY,ANY
128849018905,METHOD_RETURN,RET,17,__ecma.Boolean,BY_VALUE,491,5,__ecma.Boolean,__ecma.Boolean
128849018906,METHOD_RETURN,RET,6,,BY_VALUE,448,4,ANY,ANY
128849018907,METHOD_RETURN,RET,6,,BY_VALUE,504,5,void,void
128849018908,METHOD_RETURN,RET,6,__ecma.String;__ecma.Number,BY_VALUE,514,4,__ecma.String,ANY
128849018909,METHOD_RETURN,RET,6,__ecma.String,BY_VALUE,517,4,__ecma.String,__ecma.String
128849018910,METHOD_RETURN,RET,6,parseInt:<returnValue>:replace:<returnValue>;__ecma.Array:replace:<returnValue>;Document:<member>(styleSheets):replace:<returnValue>;__ecma.String:replace:<returnValue>;Location:<member>(protocol):replace:<returnValue>,BY_VALUE,521,5,ANY,ANY
128849018911,METHOD_RETURN,RET,23,,BY_VALUE,534,6,void,void
128849018912,METHOD_RETURN,RET,6,,BY_VALUE,524,5,ANY,ANY
128849018913,METHOD_RETURN,RET,6,__ecma.Boolean,BY_VALUE,540,5,__ecma.Boolean,__ecma.Boolean
128849018914,METHOD_RETURN,RET,6,__ecma.Number;__ecma.Math:round:<returnValue>,BY_VALUE,543,4,__ecma.Number,__ecma.Number
128849018915,METHOD_RETURN,RET,6,__ecma.String;__ecma.Number,BY_VALUE,546,4,__ecma.String,ANY
128849018916,METHOD_RETURN,RET,6,,BY_VALUE,563,5,ANY,ANY
128849018917,METHOD_RETURN,RET,6,__ecma.Number,BY_VALUE,568,4,__ecma.Number,__ecma.Number
128849018918,METHOD_RETURN,RET,6,,BY_VALUE,571,5,void,void
128849018919,METHOD_RETURN,RET,6,fresh.js::program:<lambda>0:Jl;fresh.js::program:<lambda>0:js;fresh.js::program:<lambda>0:Uf;__ecma.FileReader;fresh.js::program:<lambda>0:Kv;fresh.js::program:<lambda>0:f;fresh.js::program:<lambda>0:Xd;PropertyDescriptor;HTMLSpanElement;__ecma.Array,BY_VALUE,574,4,ANY,ANY
128849018920,METHOD_RETURN,RET,6,__ecma.Array;__ecma.String;__ecma.Number,BY_VALUE,605,4,ANY,ANY
128849018921,METHOD_RETURN,RET,6,fresh.js::program:<lambda>0:Jl;fresh.js::program:<lambda>0:js;fresh.js::program:<lambda>0:Uf;__ecma.FileReader;fresh.js::program:<lambda>0:f;fresh.js::program:<lambda>0:Xd;PropertyDescriptor;HTMLSpanElement;__ecma.Array;__ecma.String,BY_VALUE,608,6,ANY,ANY
128849018922,METHOD_RETURN,RET,6,fresh.js::program:<lambda>0:Jl;fresh.js::program:<lambda>0:js;fresh.js::program:<lambda>0:Uf;__ecma.FileReader;fresh.js::program:<lambda>0:f;fresh.js::program:<lambda>0:Xd;PropertyDescriptor;HTMLSpanElement;__ecma.Array;__ecma.String,BY_VALUE,615,5,__ecma.Array,ANY
128849018923,METHOD_RETURN,RET,6,__ecma.Number,BY_VALUE,624,11,__ecma.Number,__ecma.Number
128849018924,METHOD_RETURN,RET,17,fresh.js::program:<lambda>0:Uf;HTMLSpanElement;PropertyDescriptor;__ecma.String;__ecma.XMLHttpRequest;fresh.js::program:<lambda>0:f;fresh.js::program:<lambda>0:js;__ecma.FileReader;__ecma.Null;__ecma.Boolean;__ecma.Array,BY_VALUE,632,6,__ecma.String,__ecma.String
128849018925,METHOD_RETURN,RET,17,fresh.js::program:<lambda>0:Uf;HTMLSpanElement;PropertyDescriptor;__ecma.String;__ecma.XMLHttpRequest;fresh.js::program:<lambda>0:f;fresh.js::program:<lambda>0:js;__ecma.FileReader;__ecma.Null;__ecma.Boolean;__ecma.Array,BY_VALUE,628,8,__ecma.String,__ecma.String
128849018926,METHOD_RETURN,RET,6,__ecma.Boolean;fresh.js::program:<lambda>0:Jl;fresh.js::program:<lambda>0:js;fresh.js::program:<lambda>0:Uf;__ecma.FileReader;fresh.js::program:<lambda>0:f;PropertyDescriptor;HTMLSpanElement;__ecma.Array;__ecma.String,BY_VALUE,627,7,__ecma.String,ANY
128849018927,METHOD_RETURN,RET,6,__ecma.Number,BY_VALUE,640,11,__ecma.Number,__ecma.Number
128849018928,METHOD_RETURN,RET,16,fresh.js::program:<lambda>0:Jl;fresh.js::program:<lambda>0:Uf;HTMLSpanElement;PropertyDescriptor;fresh.js::program:<lambda>0:Xd;__ecma.String;fresh.js::program:<lambda>0:f;fresh.js::program:<lambda>0:js;__ecma.FileReader;__ecma.Array,BY_VALUE,644,6,__ecma.String,__ecma.String
128849018929,METHOD_RETURN,RET,6,__ecma.String,BY_VALUE,643,5,__ecma.String,__ecma.String
128849018930,METHOD_RETURN,RET,16,fresh.js::program:<lambda>0:Jl;fresh.js::program:<lambda>0:Uf;HTMLSpanElement;PropertyDescriptor;fresh.js::program:<lambda>0:Xd;__ecma.String;fresh.js::program:<lambda>0:f;fresh.js::program:<lambda>0:js;__ecma.FileReader;__ecma.Array,BY_VALUE,649,7,__ecma.String,__ecma.String
128849018931,METHOD_RETURN,RET,6,__ecma.String,BY_VALUE,648,6,__ecma.String,__ecma.String
128849018932,METHOD_RETURN,RET,6,__ecma.Number,BY_VALUE,666,10,__ecma.Number,__ecma.Number
128849018933,METHOD_RETURN,RET,6,fresh.js::program:<lambda>0:Jl;fresh.js::program:<lambda>0:js;fresh.js::program:<lambda>0:Uf;__ecma.FileReader;fresh.js::program:<lambda>0:f;fresh.js::program:<lambda>0:Xd;PropertyDescriptor;HTMLSpanElement;__ecma.Array;__ecma.String,BY_VALUE,673,5,__ecma.String,ANY
128849018934,METHOD_RETURN,RET,6,unescape:<returnValue>;__ecma.String,BY_VALUE,680,5,__ecma.String,__ecma.String
128849018935,METHOD_RETURN,RET,6,__ecma.Number,BY_VALUE,683,11,__ecma.Number,__ecma.Number
128849018936,METHOD_RETURN,RET,6,__ecma.Array,BY_VALUE,686,6,__ecma.Array,__ecma.Array
128849018937,METHOD_RETURN,RET,6,__ecma.Boolean;fresh.js::program:<lambda>0:js;fresh.js::program:<lambda>0:Uf;__ecma.FileReader;__ecma.XMLHttpRequest;fresh.js::program:<lambda>0:f;__ecma.Null;PropertyDescriptor;HTMLSpanElement;__ecma.Array;__ecma.String,BY_VALUE,793,5,__ecma.String,ANY
128849018938,METHOD_RETURN,RET,6,__ecma.Number,BY_VALUE,803,6,__ecma.Number,__ecma.Number
128849018939,METHOD_RETURN,RET,6,__ecma.Number,BY_VALUE,807,11,__ecma.Number,__ecma.Number
128849018940,METHOD_RETURN,RET,6,__ecma.Boolean,BY_VALUE,811,5,__ecma.Boolean,__ecma.Boolean
128849018941,METHOD_RETURN,RET,17,,BY_VALUE,824,6,ANY,ANY
128849018942,METHOD_RETURN,RET,6,fresh.js::program:<lambda>0:Jl;fresh.js::program:<lambda>0:js;fresh.js::program:<lambda>0:Uf;__ecma.FileReader;fresh.js::program:<lambda>0:f;fresh.js::program:<lambda>0:Xd;PropertyDescriptor;HTMLSpanElement;__ecma.Array;__ecma.String,BY_VALUE,816,6,__ecma.String,ANY
128849018943,METHOD_RETURN,RET,6,fresh.js::program:<lambda>0:Jl;fresh.js::program:<lambda>0:js;fresh.js::program:<lambda>0:Uf;__ecma.FileReader;fresh.js::program:<lambda>0:Kv;fresh.js::program:<lambda>0:f;fresh.js::program:<lambda>0:Xd;PropertyDescriptor;HTMLSpanElement;__ecma.Array,BY_VALUE,868,5,ANY,ANY
128849018944,METHOD_RETURN,RET,6,,BY_VALUE,872,6,ANY,ANY
128849018945,METHOD_RETURN,RET,6,__ecma.Boolean,BY_VALUE,886,5,__ecma.Boolean,__ecma.Boolean
128849018946,METHOD_RETURN,RET,6,,BY_VALUE,889,6,ANY,ANY
128849018947,METHOD_RETURN,RET,6,__ecma.Boolean;__ecma.Number,BY_VALUE,893,5,__ecma.Boolean,ANY
128849018948,METHOD_RETURN,RET,6,__ecma.String,BY_VALUE,904,6,__ecma.String,__ecma.String
128849018949,METHOD_RETURN,RET,6,__ecma.String,BY_VALUE,916,6,__ecma.String,__ecma.String
128849018950,METHOD_RETURN,RET,6,fresh.js::program:<lambda>0:Jl;fresh.js::program:<lambda>0:js;fresh.js::program:<lambda>0:Uf;__ecma.FileReader;fresh.js::program:<lambda>0:Kv;fresh.js::program:<lambda>0:f;fresh.js::program:<lambda>0:Xd;PropertyDescriptor;HTMLSpanElement;__ecma.Array,BY_VALUE,925,5,ANY,ANY
128849018951,METHOD_RETURN,RET,6,fresh.js::program:<lambda>0:Jl;fresh.js::program:<lambda>0:js;fresh.js::program:<lambda>0:Uf;__ecma.FileReader;fresh.js::program:<lambda>0:f;fresh.js::program:<lambda>0:Xd;PropertyDescriptor;HTMLSpanElement;__ecma.Array;__ecma.String,BY_VALUE,957,6,__ecma.String,ANY
128849018952,METHOD_RETURN,RET,6,,BY_VALUE,962,8,ANY,ANY
128849018953,METHOD_RETURN,RET,21,__ecma.Array:<operator>.addition:<returnValue>;fresh.js::program:<lambda>0:js:<operator>.addition:<returnValue>;PropertyDescriptor:<operator>.addition:<returnValue>;new (src?: __ecma.String) => HTMLAudioElement:<operator>.addition:<returnValue>;fresh.js::program:<lambda>0:rd:<lambda>357:<lambda>361:<operator>.addition:<returnValue>;fresh.js::program:<lambda>0:Uf:<operator>.addition:<returnValue>;__ecma.Boolean:<operator>.addition:<returnValue>;fresh.js::program:<lambda>0:f:<operator>.addition:<returnValue>;fresh.js::program:<lambda>0:Jl:<operator>.addition:<returnValue>;fresh.js::program:<lambda>0:Xd:<operator>.addition:<returnValue>;__ecma.String;HTMLSpanElement:<operator>.addition:<returnValue>;fresh.js::program:<lambda>0:Kv:<operator>.addition:<returnValue>;__ecma.FileReader:<operator>.addition:<returnValue>,BY_VALUE,973,6,__ecma.String,__ecma.String
128849018954,METHOD_RETURN,RET,6,__ecma.Boolean;fresh.js::program:<lambda>0:js;fresh.js::program:<lambda>0:Uf;__ecma.FileReader;__ecma.XMLHttpRequest;fresh.js::program:<lambda>0:f;__ecma.Null;PropertyDescriptor;HTMLSpanElement;__ecma.Array;__ecma.String,BY_VALUE,969,6,__ecma.String,ANY
128849018955,METHOD_RETURN,RET,6,,BY_VALUE,989,6,ANY,ANY
128849018956,METHOD_RETURN,RET,6,__ecma.String,BY_VALUE,998,5,__ecma.String,__ecma.String
