:ID,:LABEL,AST_PARENT_FULL_NAME:string,AST_PARENT_TYPE:string,CODE:string,COLUMN_NUMBER:int,COLUMN_NUMBER_END:int,FILENAME:string,FULL_NAME:string,HASH,IS_EXTERNAL:boolean,LINE_NUMBER:int,LINE_NUMBER_END:int,NAME:string,OFFSET,OFFSET_END,ORDER:int,SIGNATURE:string
111669149696,METHOD,<empty>,<empty>,"function t() {
        return window.performance && window.performance.now
          ? window.performance.now()
          : Date.now();
      }",6,7,fresh.js,fresh.js::program:<lambda>0:t,,false,6,10,t,,,1,
111669149697,METHOD,<empty>,<empty>,"function () {
      ""use strict"";
      function t() {
        return window.performance && window.performance.now
          ? window.performance.now()
          : Date.now();
      }
      function e(e) {
        return (
          e && ((r += t() - e), (n += 1)),
          {
            total: r,
            amount: n,
          }
        );
      }
      var n = 0,
        r = 0,
        a = (function () {
          try {
            if (atob && ""test"" === atob(""dGVzdA=="")) return atob;
          } catch (t) {}
          function t(t) {
            this.message = t;
          }
          (t.prototype = new Error()),
            (t.prototype.name = ""InvalidCharacterError"");
          return function (e) {
            var n = String(e).replace(/[=]+$/, """");
            if (n.length % 4 == 1)
              throw new t(
                ""'atob' failed: The string to be decoded is not correctly encoded.""
              );
            for (
              var r, a, o = 0, i = 0, c = """";
 ...",5,5,fresh.js,fresh.js::program:<lambda>0,,false,4,13340,<lambda>0,,,1,
111669149698,METHOD,<empty>,<empty>,"function e(e) {
        return (
          e && ((r += t() - e), (n += 1)),
          {
            total: r,
            amount: n,
          }
        );
      }",6,7,fresh.js,fresh.js::program:<lambda>0:e,,false,11,19,e,,,1,
111669149699,METHOD,<empty>,<empty>,"function i(n) {
        var r = t(),
          i = o[n];
        if (i) u = i;
        else {
          for (var c = a(n), u = """", l = 0; l < c.length; ++l) {
            var f = ""IW7oisV"".charCodeAt(l % 7);
            u += String.fromCharCode(f ^ c.charCodeAt(l));
          }
          o[n] = u;
        }
        return e(r), u;
      }",6,7,fresh.js,fresh.js::program:<lambda>0:i,,false,52,64,i,,,1,
111669149700,METHOD,<empty>,<empty>,"function u(t, e, n) {
        return (
          e in t
            ? Object.defineProperty(t, e, {
                value: n,
                enumerable: !0,
                configurable: !0,
                writable: !0,
              })
            : (t[e] = n),
          t
        );
      }",6,7,fresh.js,fresh.js::program:<lambda>0:u,,false,66,78,u,,,1,
111669149701,METHOD,<empty>,<empty>,"function (t) {
                  return typeof t;
                }",16,17,fresh.js,fresh.js::program:<lambda>0:l:<lambda>1,,false,83,85,<lambda>1,,,1,
111669149702,METHOD,<empty>,<empty>,"function l(t) {
        return (
          (l =
            ""function"" == typeof Symbol && ""symbol"" == typeof Symbol.iterator
              ? function (t) {
                  return typeof t;
                }
              : function (t) {
                  return t &&
                    ""function"" == typeof Symbol &&
                    t.constructor === Symbol &&
                    t !== Symbol.prototype
                    ? ""symbol""
                    : typeof t;
                }),
          l(t)
        );
      }",6,7,fresh.js,fresh.js::program:<lambda>0:l,,false,79,96,l,,,1,
111669149703,METHOD,<empty>,<empty>,"function (t) {
                  return t &&
                    ""function"" == typeof Symbol &&
                    t.constructor === Symbol &&
                    t !== Symbol.prototype
                    ? ""symbol""
                    : typeof t;
                }",16,17,fresh.js,fresh.js::program:<lambda>0:l:<lambda>2,,false,86,93,<lambda>2,,,1,
111669149704,METHOD,<empty>,<empty>,"function f(t, e) {
        (null == e || e > t.length) && (e = t.length);
        for (var n = 0, r = new Array(e); n < e; n++) r[n] = t[n];
        return r;
      }",6,7,fresh.js,fresh.js::program:<lambda>0:f,,false,97,101,f,,,1,
111669149705,METHOD,<empty>,<empty>,"function s(t, e) {
        if (t) {
          if (""string"" == typeof t) return f(t, e);
          var n = Object.prototype.toString.call(t).slice(8, -1);
          return (
            ""Object"" === n && t.constructor && (n = t.constructor.name),
            ""Map"" === n || ""Set"" === n
              ? Array.from(t)
              : ""Arguments"" === n ||
                /^(?:Ui|I)nt(?:8|16|32)(?:Clamped)?Array$/.test(n)
              ? f(t, e)
              : void 0
          );
        }
      }",6,7,fresh.js,fresh.js::program:<lambda>0:s,,false,102,116,s,,,1,
111669149706,METHOD,<empty>,<empty>,"function (t) {
            if (Array.isArray(t)) return f(t);
          }",11,11,fresh.js,fresh.js::program:<lambda>0:h:<lambda>3,,false,119,121,<lambda>3,,,1,
