:ID,:LABEL,ARGUMENT_INDEX:int,ARGUMENT_NAME,CODE:string,COLUMN_NUMBER:int,LINE_NUMBER:int,ORDER:int
146028888064,RETURN,1,,"return window.performance && window.performance.now
          ? window.performance.now()
          : Date.now()",8,7,1
146028888065,RETURN,1,,"return (
          e && ((r += t() - e), (n += 1)),
          {
            total: r,
            amount: n,
          }
        )",8,12,1
146028888066,RETURN,3,,"return e(r), u",8,63,3
146028888067,RETURN,1,,"return (
          e in t
            ? Object.defineProperty(t, e, {
                value: n,
                enumerable: !0,
                configurable: !0,
                writable: !0,
              })
            : (t[e] = n),
          t
        )",8,67,1
146028888068,RETURN,1,,return typeof t,18,84,1
146028888069,RETURN,1,,"return t &&
                    ""function"" == typeof Symbol &&
                    t.constructor === Symbol &&
                    t !== Symbol.prototype
                    ? ""symbol""
                    : typeof t",18,87,1
146028888070,RETURN,1,,"return (
          (l =
            ""function"" == typeof Symbol && ""symbol"" == typeof Symbol.iterator
              ? function (t) {
                  return typeof t;
                }
              : function (t) {
                  return t &&
                    ""function"" == typeof Symbol &&
                    t.constructor === Symbol &&
                    t !== Symbol.prototype
                    ? ""symbol""
                    : typeof t;
                }),
          l(t)
        )",8,80,1
146028888071,RETURN,3,,return r,8,100,3
146028888072,RETURN,-1,,"return f(t, e)",36,104,2
146028888073,RETURN,3,,"return (
            ""Object"" === n && t.constructor && (n = t.constructor.name),
            ""Map"" === n || ""Set"" === n
              ? Array.from(t)
              : ""Arguments"" === n ||
                /^(?:Ui|I)nt(?:8|16|32)(?:Clamped)?Array$/.test(n)
              ? f(t, e)
              : void 0
          )",10,106,3
146028888074,RETURN,-1,,return f(t),34,120,2
146028888075,RETURN,-1,,return Array.from(t),14,127,2
146028888076,RETURN,1,,"return (
          (function (t) {
            if (Array.isArray(t)) return f(t);
          })(t) ||
          (function (t) {
            if (
              (""undefined"" != typeof Symbol && null != t[Symbol.iterator]) ||
              null != t[""@@iterator""]
            )
              return Array.from(t);
          })(t) ||
          s(t) ||
          (function () {
            throw new TypeError(
              ""Invalid attempt to spread non-iterable instance.\nIn order to be iterable, non-array objects must have a [Symbol.iterator]() method.""
            );
          })()
        )",8,118,1
146028888077,RETURN,-1,,return null,18,174,2
