:ID,:LABEL,FULL_NAME:string,NAME:string,TYPE_DECL_FULL_NAME:string
163208757248,TYPE,0 | 1,0 | 1,0 | 1
163208757249,TYPE,ANY,ANY,ANY
163208757250,TYPE,ActiveXObject,ActiveXObject,ActiveXObject
163208757251,TYPE,ArrayBufferLike,ArrayBufferLike,ArrayBufferLike
163208757252,TYPE,ArrayConstructor,ArrayConstructor,ArrayConstructor
163208757253,TYPE,Attr,Attr,Attr
163208757254,TYPE,Blob,Blob,Blob
163208757255,TYPE,BooleanConstructor,BooleanConstructor,BooleanConstructor
163208757256,TYPE,ChildNode,ChildNode,ChildNode
163208757257,TYPE,Crypto,Crypto,Crypto
163208757258,TYPE,Date,Date,Date
163208757259,TYPE,DateConstructor,DateConstructor,DateConstructor
163208757260,TYPE,Document,Document,Document
163208757261,TYPE,Element,Element,Element
163208757262,TYPE,ErrorConstructor,ErrorConstructor,ErrorConstructor
163208757263,TYPE,ErrorEvent,ErrorEvent,ErrorEvent
163208757264,TYPE,Event,Event,Event
163208757265,TYPE,EventTarget,EventTarget,EventTarget
163208757266,TYPE,FileReader,FileReader,FileReader
163208757267,TYPE,Float32Array,Float32Array,Float32Array
163208757268,TYPE,Float32ArrayConstructor,Float32ArrayConstructor,Float32ArrayConstructor
163208757269,TYPE,Function,Function,Function
163208757270,TYPE,FunctionConstructor,FunctionConstructor,FunctionConstructor
163208757271,TYPE,HTMLAnchorElement,HTMLAnchorElement,HTMLAnchorElement
163208757272,TYPE,HTMLAudioElement,HTMLAudioElement,HTMLAudioElement
163208757273,TYPE,HTMLButtonElement,HTMLButtonElement,HTMLButtonElement
163208757274,TYPE,HTMLCanvasElement,HTMLCanvasElement,HTMLCanvasElement
163208757275,TYPE,HTMLCollectionOf<Element>,HTMLCollectionOf<Element>,HTMLCollectionOf<Element>
163208757276,TYPE,HTMLDivElement,HTMLDivElement,HTMLDivElement
163208757277,TYPE,HTMLElement,HTMLElement,HTMLElement
163208757278,TYPE,HTMLFormElement,HTMLFormElement,HTMLFormElement
163208757279,TYPE,HTMLIFrameElement,HTMLIFrameElement,HTMLIFrameElement
163208757280,TYPE,HTMLImageElement,HTMLImageElement,HTMLImageElement
163208757281,TYPE,HTMLSpanElement,HTMLSpanElement,HTMLSpanElement
163208757282,TYPE,History,History,History
163208757283,TYPE,IArguments,IArguments,IArguments
163208757284,TYPE,Intl,Intl,Intl
163208757285,TYPE,JSON,JSON,JSON
163208757286,TYPE,Location,Location,Location
163208757287,TYPE,Math,Math,Math
163208757288,TYPE,MessageEvent<any>,MessageEvent<any>,MessageEvent<any>
163208757289,TYPE,MimeType,MimeType,MimeType
163208757290,TYPE,NamedNodeMap,NamedNodeMap,NamedNodeMap
163208757291,TYPE,Navigator,Navigator,Navigator
163208757292,TYPE,NodeListOf<HTMLButtonElement>,NodeListOf<HTMLButtonElement>,NodeListOf<HTMLButtonElement>
163208757293,TYPE,ObjectConstructor,ObjectConstructor,ObjectConstructor
163208757294,TYPE,PerformanceEntry,PerformanceEntry,PerformanceEntry
163208757295,TYPE,"PerformanceEntry & Record<""transferSize"", ANY>","PerformanceEntry & Record<""transferSize"", ANY>","PerformanceEntry & Record<""transferSize"", ANY>"
163208757296,TYPE,PermissionStatus,PermissionStatus,PermissionStatus
163208757297,TYPE,Plugin,Plugin,Plugin
163208757298,TYPE,ProgressEvent<FileReader>,ProgressEvent<FileReader>,ProgressEvent<FileReader>
163208757299,TYPE,PropertyDescriptor,PropertyDescriptor,PropertyDescriptor
163208757300,TYPE,ProxyConstructor,ProxyConstructor,ProxyConstructor
163208757301,TYPE,Reflect,Reflect,Reflect
163208757302,TYPE,RegExp,RegExp,RegExp
163208757303,TYPE,RegExpConstructor,RegExpConstructor,RegExpConstructor
163208757304,TYPE,RegExpExecArray,RegExpExecArray,RegExpExecArray
163208757305,TYPE,Request,Request,Request
163208757306,TYPE,Screen,Screen,Screen
163208757307,TYPE,StorageEstimate,StorageEstimate,StorageEstimate
163208757308,TYPE,StringConstructor,StringConstructor,StringConstructor
163208757309,TYPE,StyleSheetList,StyleSheetList,StyleSheetList
163208757310,TYPE,SymbolConstructor,SymbolConstructor,SymbolConstructor
163208757311,TYPE,SymbolConstructor & Function,SymbolConstructor & Function,SymbolConstructor & Function
163208757312,TYPE,TypeErrorConstructor,TypeErrorConstructor,TypeErrorConstructor
163208757313,TYPE,Uint8Array,Uint8Array,Uint8Array
163208757314,TYPE,Uint8ArrayConstructor,Uint8ArrayConstructor,Uint8ArrayConstructor
163208757315,TYPE,WebAssembly,WebAssembly,WebAssembly
163208757316,TYPE,WebAssembly.WebAssemblyInstantiatedSource,WebAssemblyInstantiatedSource,WebAssembly.WebAssemblyInstantiatedSource
163208757317,TYPE,WebGLRenderingContext | CanvasRenderingContext2D | ImageBitmapRenderingContext | WebGL2RenderingContext,WebGLRenderingContext | CanvasRenderingContext2D | ImageBitmapRenderingContext | WebGL2RenderingContext,WebGLRenderingContext | CanvasRenderingContext2D | ImageBitmapRenderingContext | WebGL2RenderingContext
163208757318,TYPE,Window,Window,Window
163208757319,TYPE,Window & globalThis,Window & globalThis,Window & globalThis
163208757320,TYPE,Worker,Worker,Worker
163208757321,TYPE,XMLHttpRequest,XMLHttpRequest,XMLHttpRequest
163208757322,TYPE,__ecma.Array,Array,__ecma.Array
